iter	Passed	Remaining
268	2699	2318
269	2712	2310
270	2721	2299
271	2730	2289
272	2740	2278
273	2751	2269
274	2762	2260
275	2774	2251
276	2784	2241
277	2795	2232
278	2805	2222
279	2815	2212
280	2826	2202
281	2837	2193
282	2847	2183
283	2858	2174
284	2868	2163
285	2879	2154
286	2889	2144
287	2899	2134
288	2910	2124
289	2919	2114
290	2929	2104
291	2939	2094
292	2949	2084
293	2960	2074
294	2972	2065
295	2982	2055
296	2992	2045
297	3001	2034
298	3011	2024
299	3021	2014
300	3032	2004
301	3043	1995
302	3053	1985
303	3064	1975
304	3074	1965
305	3084	1955
306	3094	1945
307	3103	1934
308	3113	1924
309	3123	1914
310	3132	1903
311	3142	1893
312	3152	1883
313	3162	1873
314	3173	1863
315	3183	1853
316	3194	1843
317	3205	1834
318	3215	1824
319	3225	1814
320	3235	1804
321	3245	1794
322	3258	1785
323	3270	1776
324	3278	1765
325	3289	1755
326	3299	1745
327	3310	1735
328	3320	1725
329	3328	1714
330	3339	1705
331	3349	1694
332	3359	1684
333	3370	1675
334	3380	1665
335	3390	1655
336	3400	1644
337	3410	1634
338	3420	1624
339	3430	1614
340	3441	1604
341	3451	1594
342	3461	1584
343	3472	1574
344	3480	1563
345	3490	1553
346	3499	1543
347	3508	1532
348	3519	1522
349	3529	1512
350	3539	1502
351	3550	1492
352	3560	1482
353	3571	1472
354	3580	1462
355	3590	1452
356	3600	1442
357	3610	1431
358	3620	1421
359	3630	1411
360	3639	1401
361	3650	1391
362	3659	1381
363	3670	1371
364	3680	1361
365	3689	1350
366	3700	1341
367	3710	1331
368	3721	1321
369	3732	1311
370	3741	1300
371	3751	1290
372	3762	1281
373	3772	1271
374	3783	1261
375	3793	1251
376	3803	1241
377	3813	1230
378	3823	1220
379	3834	1210
380	3844	1200
381	3855	1190
382	3866	1181
383	3876	1170
384	3886	1160
385	3896	1150
386	3907	1140
387	3918	1131
388	3927	1120
389	3937	1110
390	3948	1100
391	3958	1090
392	3968	1080
393	3978	1070
394	3988	1060
395	3998	1050
396	4007	1039
397	4018	1029
398	4030	1020
399	4040	1010
400	4049	999
401	4060	989
402	4070	979
403	4079	969
404	4089	959
405	4100	949
406	4110	939
407	4121	929
408	4131	919
409	4142	909
410	4152	899
411	4162	889
